Title,AvailableGlobally,ReleaseDate,HoursViewed,NumberofRatings,Rating,Genre,KeyWords,Description
Ginny & Georgia: Season 2,YES,2023-01-05,665100000,5216.0,6.0,"['COMEDY', 'DRAMA', 'ROMANCE']","PRODUCER,THREE WORD TITLE,HEADSTRONG,ARRANGED MARRIAGE,MOTHER","THE FILM FOLLOWS HEADSTRONG GINNY WHO MEETS SUNNY FOR AN ARRANGED MARRIAGE, BUT TURNS HIM DOWN, AND THEN SHOWS HOW SUNNY TEAMS UP WITH GINNY&APOS;S MOTHER TO WIN HER LOVE."
Queen Charlotte: A Bridgerton Story,YES,2023-05-04,503000000,50077.0,7.0,"['DRAMA', 'HISTORY', 'ROMANCE']","PREQUEL,QUEEN,HISTORICAL,ENGLAND,QUEEN CHARLOTTE CHARACTER","BETROTHED AGAINST HER WILL TO KING GEORGE, YOUNG CHARLOTTE ARRIVES IN LONDON ON HER WEDDING DAY AND FACES SCRUTINY FROM THE MONARCH&APOS;S CUNNING MOTHER."
You: Season 4,YES,2023-02-09,440600000,45624.0,7.0,"['COMEDY', 'ROMANCE']","CHRISTMAS,COMING OUT,HOLIDAYS,LESBIAN RELATIONSHIP,LESBIAN","A HOLIDAY ROMANTIC COMEDY THAT CAPTURES THE RANGE OF EMOTIONS TIED TO WANTING YOUR FAMILY&APOS;S ACCEPTANCE, BEING TRUE TO YOURSELF, AND TRYING NOT TO RUIN CHRISTMAS."
Ginny & Georgia: Season 1,YES,2021-02-24,302100000,5216.0,6.0,"['COMEDY', 'DRAMA', 'ROMANCE']","PRODUCER,THREE WORD TITLE,HEADSTRONG,ARRANGED MARRIAGE,MOTHER","THE FILM FOLLOWS HEADSTRONG GINNY WHO MEETS SUNNY FOR AN ARRANGED MARRIAGE, BUT TURNS HIM DOWN, AND THEN SHOWS HOW SUNNY TEAMS UP WITH GINNY&APOS;S MOTHER TO WIN HER LOVE."
The Mother,YES,2023-05-12,249900000,44102.0,6.0,"['ACTION', 'THRILLER']","FEMALE PROTAGONIST,ASSASSIN,DAUGHTER,DANGER,FIGHT","WHILE FLEEING FROM DANGEROUS ASSAILANTS, AN ASSASSIN COMES OUT OF HIDING TO PROTECT THE DAUGHTER SHE LEFT EARLIER IN LIFE."
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,YES,2023-01-14,234800000,3963.0,8.0,"['COMEDY', 'DRAMA', 'ROMANCE']","TEACHER,TUTOR,MOTHER DAUGHTER RELATIONSHIP,KOREAN,ROMANCE DRAMA",RETIRED EX NATIONAL TEAM FEMALE HANDBALL PLAYER HAS BECOME A GROCERY STORE OWNER IN ORDER TO LOOK AFTER HER FAMILY WHILE SHE GRAPPLES WITH HER DAUGHTER&APOS;S TUTOR&APOS;S EATING DISORDER.
BEEF: Season 1,YES,2023-04-06,221100000,7143.0,6.0,"['DRAMA', 'FAMILY']","CLOSE UP OF EYE,CLOSE UP OF EYES,CLOSE UP OF LIPS,CLOSE UP OF MOUTH,CHILD",WIFE AND MOTHER MIRIAM BEGINS A DOWNWARD EMOTIONAL SPIRAL AS HER HUSBAND AVOIDS THEIR COLLAPSING MARRIAGE BY IMMERSING HIMSELF IN HIS 11-YEAR-OLD DAUGHTER&APOS;S QUEST TO BECOME A SPELLING-BEE CHAMPION.
Luther: The Fallen Sun,YES,2023-03-10,209700000,60515.0,6.0,"['CRIME', 'DRAMA', 'MYSTERY']","PSYCHOLOGICAL THRILLER,SERIAL KILLER,ICE,CYBERCRIME,BLACKMAIL",BRILLIANT BUT DISGRACED DETECTIVE JOHN LUTHER BREAKS OUT OF PRISON TO HUNT DOWN A SADISTIC SERIAL KILLER WHO IS TERRORISING LONDON.
Extraction 2,YES,2023-06-16,201800000,136009.0,7.0,"['ACTION', 'THRILLER']","ASSASSIN,RESCUE,ESCAPE,MERCENARY,PRISON RIOT","AFTER BARELY SURVIVING HIS GRIEVOUS WOUNDS FROM HIS MISSION IN DHAKA, BANGLADESH, TYLER RAKE IS BACK, AND HIS TEAM IS READY TO TAKE ON THEIR NEXT MISSION."
Shadow and Bone: Season 2,YES,2023-03-16,192900000,111361.0,8.0,"['ACTION', 'ADVENTURE', 'DRAMA']","MAGIC,POWER,YOUNG WOMAN,SOLDIER,GAY MAN",DARK FORCES CONSPIRE AGAINST ORPHAN MAPMAKER ALINA STARKOV WHEN SHE UNLEASHES AN EXTRAORDINARY POWER THAT COULD CHANGE THE FATE OF HER WAR-TORN WORLD.
